Gene,Collapsing model,P value,No. participants,No. cases with QV,Proportion cases with QV,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
A4GALT,flexdmg,0.0323,429799,31,0.00175072005421585,1057,0.00256496122225134,0.68,0.459,0.971
ABAT,flexdmg,0.0249,429799,86,0.00485683627943751,1545,0.00374916280830494,1.29,1.02,1.6
ABCA1,flexdmg,0.0676,429799,348,0.0196532444795843,7315,0.0177508905778321,1.11,0.991,1.24
ABCB11,flexdmg,0.0459,429799,180,0.0101654712825436,4814,0.0116818574493074,0.859,0.735,0.998
ABCB4,flexdmg,0.0457,429799,128,0.00722877957869769,3518,0.00853692864700115,0.833,0.692,0.995
ABCC3,flexdmg,0.04,429799,344,0.01942734511775,7118,0.0172728419867408,1.12,1,1.25
ABCC5,flexdmg,0.0674,429799,124,0.00700288021686339,3380,0.0082020519689778,0.844,0.699,1.01
ABHD1,flexdmg,0.0636,429799,35,0.00197661941605015,1117,0.00271055977791367,0.724,0.501,1.01
ABHD16A,flexdmg,0.0596,429799,22,0.00124244649008867,767,0.00186123486988342,0.663,0.413,1.01
ABHD4,flexdmg,0.0961,429799,77,0.00434856271531033,1470,0.00356716461372703,1.22,0.953,1.53
ABHD8,flexdmg,0.0528,429799,35,0.00197661941605015,575,0.00139531949176397,1.41,0.972,1.99
ABI1,flexdmg,0.0799,429799,37,0.0020895690969673,1161,0.00281733205206604,0.741,0.519,1.03
ABI3,flexdmg,0.088,429799,46,0.00259784266109448,829,0.0020116867107345,1.3,0.941,1.75
ABT1,flexdmg,0.0334,429799,19,0.00107302196871294,261,0.000633353717131126,1.7,1.01,2.71
ACE2,flexdmg,0.0902,429799,33,0.001863669735133,1042,0.00252856158333576,0.738,0.505,1.04
ACOT1,flexdmg,0.0767,429799,21,0.00118597164963009,316,0.000766819059821593,1.51,0.918,2.34
ACOXL,flexdmg,0.0508,429799,108,0.00609928276952618,2007,0.00487027168690487,1.22,0.994,1.48
ACRBP,flexdmg,0.0896,429799,80,0.00451798723668606,1542,0.00374188288052183,1.22,0.96,1.53
ACTR10,flexdmg,0.0723,429799,124,0.00700288021686339,2451,0.00594770099880609,1.19,0.981,1.42
ACVR1B,flexdmg,0.0601,429799,40,0.00225899361834303,680,0.00165011696417305,1.37,0.968,1.88
ACVR1C,flexdmg,0.0221,429799,68,0.00384028915118315,1185,0.00287557147433097,1.34,1.04,1.72
ACYP2,flexdmg,0.0864,429799,17,0.000960072287795787,248,0.000601807363404288,1.59,0.909,2.59
ADAM21,flexdmg,0.00592,429799,47,0.00265431750155306,702,0.00170350310124924,1.54,1.12,2.07
ADAM33,flexdmg,0.0678,429799,60,0.00338849042751454,1770,0.00429515739203867,0.787,0.598,1.02
ADAMTS3,flexdmg,0.036,429799,182,0.0102784209634608,3601,0.00873833998233404,1.18,1.01,1.37
ADAMTS5,flexdmg,0.0701,429799,122,0.00688993053594624,2390,0.00579967580054939,1.19,0.98,1.42
ADAMTS6,flexdmg,0.0956,429799,113,0.00638165697181905,2242,0.00544053269658232,1.18,0.965,1.42
ADAR,flexdmg,0.0826,429799,38,0.00214604393742588,1173,0.00284645176319851,0.749,0.527,1.04
ADD2,flexdmg,0.0686,429799,19,0.00107302196871294,664,0.00161129068266309,0.656,0.392,1.03
ADGRE1,flexdmg,0.0557,429799,75,0.00423561303439318,2155,0.00522941479087194,0.799,0.626,1.01
ADGRL3,flexdmg,0.0573,429799,86,0.00485683627943751,2443,0.00592828785805111,0.812,0.647,1.01
ADH1A,flexdmg,0.00396,429799,22,0.00124244649008867,924,0.00224221775719985,0.555,0.346,0.845
ADH5,flexdmg,0.0598,429799,63,0.00355791494889027,1148,0.00278578569833921,1.28,0.975,1.65
ADIG,flexdmg,0.00592,429799,9,0.000508273564127181,68,0.000165011696417305,2.94,1.29,5.93
ADNP,flexdmg,0.0629,429799,52,0.00293669170384594,920,0.00223251118682236,1.31,0.972,1.74
AFG3L2,flexdmg,0.0964,429799,127,0.00717230473823911,2540,0.00616367218970521,1.17,0.966,1.39
AFMID,flexdmg,0.0928,429799,47,0.00265431750155306,853,0.00206992613299943,1.29,0.937,1.73
AGER,flexdmg,0.000102,429799,103,0.0058169085672333,1587,0.00385108179726857,1.52,1.23,1.86
AGXT,flexdmg,0.0207,429799,171,0.00965719771841645,3310,0.00803218698737175,1.2,1.03,1.41
AGXT2,flexdmg,0.0524,429799,77,0.00434856271531033,2227,0.00540413305766673,0.797,0.627,1
AHI1,flexdmg,0.0392,429799,109,0.00615575760998475,2058,0.00499403045921784,1.23,1.01,1.5
AIDA,flexdmg,0.0393,429799,11,0.000621223245044333,481,0.00116721508789299,0.535,0.265,0.966
AK8,flexdmg,0.0941,429799,112,0.00632518213136048,2204,0.00534832027799618,1.18,0.964,1.43
AKAP3,flexdmg,0.0618,429799,122,0.00688993053594624,2403,0.00583122215427623,1.19,0.986,1.43
AKAP7,flexdmg,0.0328,429799,17,0.000960072287795787,657,0.00159430418450249,0.598,0.346,0.966
AKIP1,flexdmg,0.035,429799,57,0.00321906590613882,996,0.00241693602399464,1.34,1.01,1.76
AKIRIN1,flexdmg,0.0392,429799,12,0.000677698085502908,137,0.000332450035428982,1.94,0.98,3.51
AKR1B10,flexdmg,0.0729,429799,42,0.00237194329926018,1294,0.00314007551711754,0.754,0.54,1.03
AKR1B15,flexdmg,0.00166,429799,56,0.00316259106568024,820,0.00198984692738515,1.58,1.18,2.07
AKR7A2,flexdmg,0.03,429799,66,0.003727339470266,1164,0.00282461197984916,1.33,1.02,1.71
ALDH1L2,flexdmg,0.0546,429799,204,0.0115208674535494,4126,0.0100123273443794,1.15,0.994,1.33
ALDH3A1,flexdmg,0.0815,429799,159,0.00897949963291354,3204,0.00777496287236831,1.15,0.977,1.36
ALKBH4,flexdmg,0.0265,429799,21,0.00118597164963009,794,0.00192675421993147,0.62,0.382,0.955
ALLC,flexdmg,0.0294,429799,27,0.00152482069238154,942,0.00228589732389855,0.658,0.431,0.964
ALOX12B,flexdmg,0.0583,429799,119,0.00672050601457051,2319,0.00562738417634897,1.2,0.987,1.44
ALPL,flexdmg,0.0325,429799,141,0.00796295250465917,3971,0.00963619774225173,0.831,0.697,0.984
ALX4,flexdmg,0.0472,429799,102,0.00576043372677472,2880,0.00698873067179174,0.819,0.665,0.998
AMER3,flexdmg,0.0649,429799,34,0.00192014457559157,567,0.001375906351009,1.39,0.952,1.97
AMY2B,flexdmg,0.0584,429799,179,0.0101089964420851,3585,0.00869951370082409,1.16,0.991,1.35
ANGEL1,flexdmg,0.0446,429799,93,0.00525216016264754,1727,0.00419081176048067,1.25,1,1.54
ANGPTL7,flexdmg,0.0343,429799,58,0.00327554074659739,1795,0.00435582345689797,0.755,0.571,0.981
ANKFY1,flexdmg,0.0684,429799,121,0.00683345569548766,2365,0.00573900973569009,1.19,0.982,1.43
ANKRD27,flexdmg,0.0507,429799,135,0.00762410346190772,3721,0.0090295370936587,0.843,0.704,1
ANKRD46,flexdmg,0.0159,429799,4,0.000225899361834303,278,0.000674606641235452,0.336,0.091,0.871
ANKRD50,flexdmg,0.0453,429799,109,0.00615575760998475,2055,0.00498675053143473,1.23,1,1.49
ANKS3,flexdmg,0.0688,429799,58,0.00327554074659739,1040,0.00252370829814702,1.29,0.969,1.68
ANO6,flexdmg,0.0901,429799,83,0.00468741175806178,2312,0.00561039767818837,0.827,0.655,1.03
ANO8,flexdmg,0.0222,429799,125,0.00705935505732196,3594,0.00872135348417344,0.813,0.674,0.973
ANTXR1,flexdmg,0.0453,429799,98,0.00553453436494042,1862,0.00451840851072091,1.23,0.997,1.51
ANTXR2,flexdmg,0.0415,429799,64,0.00361438978934884,1140,0.00276637255758423,1.31,1,1.68
ANXA3,flexdmg,0.0194,429799,81,0.00457446207714463,1429,0.00346767226735777,1.32,1.04,1.65
AP3B2,flexdmg,0.0485,429799,53,0.00299316654430451,1615,0.00391902778991099,0.759,0.566,0.999
AP3M2,flexdmg,0.0334,429799,105,0.00592985824815045,3044,0.00738670005726877,0.811,0.66,0.986
AP4S1,flexdmg,0.0271,429799,32,0.00180719489467442,471,0.00114294866194927,1.52,1.02,2.17
APBB2,flexdmg,0.0142,429799,39,0.00220251877788445,1317,0.0031958882967881,0.679,0.48,0.934
APCDD1,flexdmg,0.0703,429799,77,0.00434856271531033,1454,0.00352833833221708,1.24,0.972,1.56
APLF,flexdmg,0.0489,429799,15,0.000847122606878636,563,0.00136619978063151,0.604,0.336,1.01
APOBEC3F,flexdmg,0.0335,429799,10,0.000564748404585757,439,0.00106529609892937,0.518,0.247,0.963
APOL4,flexdmg,0.0452,429799,10,0.000564748404585757,107,0.000259650757597818,1.97,0.915,3.77
AQP4,flexdmg,0.0492,429799,63,0.00355791494889027,1122,0.00272269299088553,1.29,0.987,1.67
AQP8,flexdmg,0.0235,429799,55,0.00310611622522166,909,0.00220581811828427,1.39,1.04,1.83
ARFGAP2,flexdmg,0.028,429799,50,0.00282374202292879,844,0.00204808634965008,1.39,1.02,1.85
ARHGAP21,flexdmg,0.0584,429799,102,0.00576043372677472,1953,0.00473923298680877,1.22,0.986,1.49
ARHGAP33,flexdmg,0.0403,429799,24,0.00135539617100582,848,0.00205779292002757,0.659,0.42,0.987
ARHGEF18,flexdmg,0.0698,429799,61,0.00344496526797312,1809,0.00438979645321918,0.787,0.6,1.02
ARHGEF26,flexdmg,0.049,429799,91,0.00513921048173039,1681,0.00407918620113955,1.24,0.996,1.54
ARIH1,flexdmg,0.0829,429799,45,0.00254136782063591,800,0.0019413140754977,1.31,0.946,1.77
ARL14EP,flexdmg,0.0287,429799,3,0.000169424521375727,229,0.000555701154111218,0.31,0.0634,0.917
ARL15,flexdmg,0.0486,429799,17,0.000960072287795787,642,0.00155790454558691,0.622,0.36,1
ARMC7,flexdmg,0.0161,429799,18,0.00101654712825436,722,0.00175203595313668,0.577,0.34,0.918
ARMC8,flexdmg,0.0992,429799,14,0.00079064776642006,510,0.00123758772312979,0.632,0.343,1.07
