Gene	Cell type	Expression	Expression rate	Expression sum	Number of cells	Total
MRPS35	secretory cell	3316.977227612107	0.22544799561743692	1483816593	447340	1984227
MRPS35	B cell	3799.1898300208254	0.1447518861316897	2825825998	743797	5138427
MRPS35	T cell	3871.469563667441	0.16085164310444816	14704453095	3798158	23612802
MRPS35	epithelial cell	3286.1644543446932	0.26482000237873105	5824220426	1772346	6692644
MRPS35	myeloid leukocyte	3450.8339602598094	0.1712724893370555	7218061083	2091686	12212621
MRPS35	endothelial cell	3346.5862355696604	0.12227111085956979	1207398115	360785	2950697
MRPS35	connective tissue cell	3242.900249114412	0.16310706696974508	2961530009	913235	5598991
MRPS35	glial cell	3155.4224756525978	0.18547739504691488	3099707181	982343	5296295
MRPS35	neural cell	2543.3914011419165	0.24153004427540306	7316238316	2876568	11909773
MRPS35	blood cell	3477.860296882554	0.1545200938791123	776912256	223388	1445689
MRPS35	muscle cell	3264.5322707408786	0.15561689533776651	963657281	295190	1896902
MRPS35	innate lymphoid cell	4000.7831848781493	0.1045899739116933	1360946416	340170	3252415
MRPS35	somatic stem cell	3409.4684607349336	0.254251706270371	659316192	193378	760577
MRPS35	progenitor cell	3318.3795135056853	0.33962198231005836	3322510896	1001245	2948116
MRPS35	retinal cell	3400.088903204524	0.25270973617527287	1092540367	321327	1271526
MRPS35	embryonic cell	3326.444304031484	0.28073861257037713	1313503083	394867	1406529
MRPS35	kidney epithelial cell	3726.5790473456304	0.2063585629991232	778836388	208995	1012776
MRPS35	extraembryonic cell	3241.479914355628	0.3728899477872966	95377305	29424	78908
MRPS35	germ line cell	2522.768605813095	0.23784035133040557	58066565	23017	96775
MRPS35	abnormal cell	3249.812373635261	0.1663555488286834	32147144	9892	59463
MRPS35	cell in vitro	3630.0532862094747	0.12176873788561204	267044870	73565	604137
MRPS35	contractile cell	3546.6692462987885	0.12534266796001856	10540701	2972	23711
MRPS35	embryonic cell (metazoa)	3040.0311915159077	0.41528497409326426	4873170	1603	3860
MRPS35	hematopoietic cell	3105.245778183478	0.5622453889334402	54428748	17528	31175
MRPS35	kidney cell	3402.2894993254386	0.20717230456285277	181573386	53368	257602
MRPS35	perivascular cell	3256.488765774084	0.17496432321818034	21160664	6498	37139
MRPS35	precursor cell	3299.445810055866	0.34629968787886606	44295060	13425	38767
MRPS35	malignant cell	3329.7194448058867	0.44392948638771673	2405435943	722414	1627317
MRPS35	neoplastic cell	3336.0223880726962	0.42096023198740373	1915807601	574279	1364212
MRPS35	experimentally modified cell in vitro	2679.273917937174	0.6218503435988801	26184544	9773	15716
MRPS35	ectodermal cell	2799.9752611324902	0.5480566435673395	5093155	1819	3319
MRPS35	erythroid lineage cell	3386.5663504367444	0.3703794959693618	234174290	69148	186695
MRPS35	hematopoietic lineage restricted progenitor cell	2937.4893617021276	0.09117361784675072	552248	188	2062
MRPS35	hematopoietic precursor cell	3340.07257472748	0.41259853434156624	377798949	113111	274143
MRPS35	myeloid cell	3276.6747340549077	0.19246656176239182	70536977	21527	111848
MRPS35	primitive red blood cell	3244.8266768292683	0.6802156781418498	21286063	6560	9644
MRPS35	proerythroblast	3106.0545963602426	0.6827014972921313	6656275	2143	3139
MRPS35	reticulocyte	4257.030303030303	0.006767842493847416	140482	33	4876
MRPS35	kidney collecting duct cell	3464.2882011605416	0.22865988500663423	1791037	517	2261
MRPS35	kidney cortex collecting duct epithelial cell	2990.9375	0.20824295010845986	287130	96	461
MRPS35	kidney inner medulla collecting duct epithelial cell	2776.33038585209	0.20129449838187702	3453755	1244	6180
MRPS35	kidney medulla cell	4571.111111111111	0.08294930875576037	82280	18	217
MRPS35	kidney tubule cell	3791.464447806354	0.1263349021669016	20049264	5288	41857
MRPS35	papillary tips cell	3257.968253968254	0.23728813559322035	410504	126	531
MRPS35	Leydig stem cell	2925.6619718309857	0.5916666666666667	207722	71	120
MRPS35	cardiac muscle myoblast	2551.082394141993	0.23675284540589434	40064749	15705	66335
MRPS35	glioblast	2809.6352243295178	0.36154659417006496	134514096	47876	132420
MRPS35	multi fate stem cell	3882.164502164502	0.13983050847457626	1793560	462	3304
MRPS35	muscle precursor cell	3976.3488425925925	0.2434900236726412	17177827	4320	17742
MRPS35	myoblast	3147.254934927455	0.3724430632218563	202167068	64236	172472
MRPS35	smooth muscle myoblast	3866.6372549019607	0.06943498978897208	788794	204	2938
MRPS35	stem cell	3618.4380509121384	0.5064921283417596	483575298	133642	263858
