Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
ARHGAP21,ENSG00000107863,7.55475200842071e-7,0.0000028855622195012,0.00000946619376784863,0.0912735128937042,pLoF,10024584310,10,24584310,
COL2A1,ENSG00000139219,0.0000016020738752287,3.69304381075963e-7,0.0000276979539042266,0.185788940505649,pLoF,12047968080,12,47968080,
PTPN14,ENSG00000152104,0.0000184477900203595,0.0000725274883864868,0.0000779047998541449,0.0656771987343852,pLoF,1214357849,1,214357849,
NPM1,ENSG00000181163,0.0000518343353642647,0.0000230782185253187,0.000399970747172795,0.192273759890489,pLoF,5171387881,5,171387881,
SPIDR,ENSG00000164808,0.0000580081876894178,0.732344950166141,0.0000240670740716542,0.00322479483257662,pLoF,8047260854,8,47260854,
SLC44A1,ENSG00000070214,0.000058688333242185,0.0000350518470078054,0.000715142511876987,0.116307693939071,pLoF,9105244793,9,105244793,
COLEC12,ENSG00000158270,0.0000683257372525725,0.000130715608344434,0.000273835214412488,0.116202727266158,pLoF,18000320012,18,320012,
LTBP2,ENSG00000119681,0.0000986936802944705,0.000186416066073281,0.00122038669477098,0.0461319890953793,pLoF,14074493191,14,74493191,
FGB,ENSG00000171564,0.000103788070769384,0.0000941880492306701,0.00107237351247536,0.0677913203843284,pLoF,4154563012,4,154563012,
BCAS3,ENSG00000141376,0.000133113400042628,0.000531233766540185,0.00027253340904565,0.115773359996819,pLoF,17060679459,17,60679459,
DDR2,ENSG00000162733,0.000142732368174747,0.000090677884414081,0.00130465350674225,0.106949500710401,pLoF,1162718970,1,162718970,
EPG5,ENSG00000152223,0.000147349005093278,0.00131816487049141,0.000315004411132191,0.0393041056713337,pLoF,18045852386,18,45852386,
TACC3,ENSG00000013810,0.000159118142870063,0.0154599183628609,0.0000760963241609458,0.0343017902852628,pLoF,4001717048,4,1717048,
FAM241B,ENSG00000171224,0.000218504056529789,0.00172736162193465,0.000193730284917759,0.0971446814101758,pLoF,10069630552,10,69630552,
C1QTNF4,ENSG00000172247,0.000242700934257489,0.00164539719319579,0.000152348107292255,0.0283769563036954,pLoF,11047586724,11,47586724,
IL24,ENSG00000162892,0.000251987064332049,0.0015937112237927,0.000221519337912479,0.0777978845788023,pLoF,1206897754,1,206897754,
NIPAL2,ENSG00000104361,0.000268881154722123,0.0257924871301431,0.00017868955614786,0.0321470476086512,pLoF,8098192953,8,98192953,
NOTCH2,ENSG00000134250,0.000363014663913086,0.00534158417143904,0.000297905206173787,0.0705576524618924,pLoF,1119915233,1,119915233,
SRRD,ENSG00000100104,0.000389075365082259,0.00021685806490146,0.00328014042237246,0.0308262911728752,pLoF,22026479193,22,26479193,
PCYT1A,ENSG00000161217,0.000397541798527579,0.000199098298228284,0.0315584562530025,0.0634912922702358,pLoF,3196229804,3,196229804,
HOXD1,ENSG00000128645,0.000447046432292653,0.0895198975207603,0.000335970088705784,0.0329337061693839,pLoF,2176188717,2,176188717,
MYO18A,ENSG00000196535,0.000476776684752989,0.0179170566959775,0.000388399675185669,0.0360732975208462,pLoF,17029073765,17,29073765,
TIMM8B,ENSG00000150779,0.000491856662062307,0.0028565460668768,0.000463544129852611,0.0390771264050295,pLoF,11112080340,11,112080340,
SZT2,ENSG00000198198,0.000527987410564257,0.0218772554137887,0.000258885139286624,0.0224342843185009,pLoF,1043384900,1,43384900,
DHFR2,ENSG00000178700,0.000528466361708668,0.00089058991800206,0.000513108491482672,0.0205918030536334,pLoF,3094053136,3,94053136,
ASAH1,ENSG00000104763,0.000546957755833244,0.00343285777830249,0.000522023250362214,0.0406840846340975,pLoF,8018057478,8,18057478,
SLC24A4,ENSG00000140090,0.000551822556208781,0.00677875724375232,0.000410699407575876,0.0461064107088776,pLoF,14092323707,14,92323707,
UBE2B,ENSG00000119048,0.000569563380088289,0.00217054367916281,0.000533175480471715,0.113545657740625,pLoF,5134366562,5,134366562,
GID4,ENSG00000141034,0.000581190247341046,0.00154729110073482,0.000631089520075956,0.118825132574615,pLoF,17018038759,17,18038759,
