Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
STOML2,ENSG00000165283,9.50930834148097e-95,4.00990367982378e-24,1.35847262021157e-95,0.660456379626444,pLoF,9035094925,9,35094925,
SHANK2,ENSG00000162105,5.32841756431695e-66,5.59638221818361e-28,7.61202509188136e-67,1.33742892280337,pLoF,11070472801,11,70472801,
POLR1A,ENSG00000068654,9.15863230831098e-58,1.00524859880657e-7,1.68221839243308e-58,0.198319372778435,pLoF,2086027372,2,86027372,
TMEM235,ENSG00000204278,4.55674901716487e-53,2.70718943770465e-11,6.50964145309268e-54,0.307407920603436,pLoF,17078231316,17,78231316,
SNPH,ENSG00000101298,2.75903028129159e-52,2.55674803746076e-20,3.94147183041656e-53,0.919622131404787,pLoF,20001266507,20,1266507,
PPP4R4,ENSG00000119698,1.32179191683605e-44,0.000163983642378573,1.88827416690864e-45,0.105444535537409,pLoF,14094174368,14,94174368,
RAB6A,ENSG00000175582,8.58692707254797e-41,1.73054868365204e-21,1.22670386750685e-41,1.16118855271766,pLoF,11073677690,11,73677690,
ANXA2,ENSG00000182718,9.69257341957317e-38,3.54711240802471e-18,1.52933672452864e-38,0.499873089045885,pLoF,15060347554,15,60347554,
DST,ENSG00000151914,4.68387492493728e-30,0.0910132565719314,6.69124989276754e-31,0.0416855024661068,pLoF,6056458898,6,56458898,
ITCH,ENSG00000078747,2.05882003651585e-29,0.00101878224580154,2.94117148073693e-30,0.151399215064639,pLoF,20034393796,20,34393796,
ATAD5,ENSG00000176208,2.32174520386094e-29,0.000186304217773992,3.77421604916831e-30,0.140686819094671,pLoF,17030832260,17,30832260,
ZBTB10,ENSG00000205189,1.742796475517e-27,0.0021552501851323,2.48970925073858e-28,0.176282886874694,pLoF,8080485706,8,80485706,
USP16,ENSG00000156256,2.75552545911709e-27,0.0101694167741504,3.93646494159585e-28,0.0563175047107921,pLoF,21029024634,21,29024634,
BAD,ENSG00000002330,2.96608257327034e-27,3.58536023661625e-9,4.85699681511542e-28,0.282448079342822,pLoF,11064264874,11,64264874,
