Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
TCP11L1,ENSG00000176148,3.16128401219113e-29,0.0123677124260961,4.51612001741591e-30,0.119832778427321,pLoF,11033043685,11,33043685,
ZFYVE1,ENSG00000165861,3.09124965414778e-24,0.00326717480207139,4.41607093449683e-25,0.155785431029702,pLoF,14072970794,14,72970794,
ADAR,ENSG00000160710,2.05845205388944e-18,0.0714691931442558,2.94064579127063e-19,0.0694631177986444,pLoF,1154584753,1,154584753,
SLTM,ENSG00000137776,6.77213483154388e-18,0.20259182889989,9.67447833077697e-19,0.0476452275702875,pLoF,15058879881,15,58879881,
APC2,ENSG00000115266,1.2247687296108e-17,0.0000320737673822347,2.04036720551656e-18,0.176699734962093,pLoF,19001452868,19,1452868,
EPB41L4B,ENSG00000095203,4.97452100679774e-17,0.0000127627601537172,8.07913975717921e-18,0.262320235630085,pLoF,9109166975,9,109166975,
KCNJ8,ENSG00000121361,9.07363749876854e-16,0.000296637740741623,1.29623392839551e-16,0.257281598299855,pLoF,12021765668,12,21765668,
GABRG2,ENSG00000113327,1.08606386913882e-15,2.43498009181073e-9,2.22696952083023e-16,0.547895935223743,pLoF,5162067976,5,162067976,
HOXD3,ENSG00000128652,4.42528091417545e-15,6.41100642351233e-7,6.32182987739349e-16,0.354227490055915,pLoF,2176168967,2,176168967,
TSPAN5,ENSG00000168785,3.83146308414347e-14,0.001567814381364,5.47351869163352e-15,0.205171499173923,pLoF,4098472457,4,98472457,
COL19A1,ENSG00000082293,1.19364252394269e-13,0.182133994859241,1.70520360563241e-14,0.047358942677396,pLoF,6069879512,6,69879512,
PEX3,ENSG00000034693,1.45841425661293e-13,0.0011616213139668,2.08344893801847e-14,0.125294844786797,pLoF,6143450477,6,143450477,
PPFIA3,ENSG00000177380,2.10020870141262e-13,0.00422013078142636,3.00029814487516e-14,0.171870009582858,pLoF,19049114819,19,49114819,
ZNHIT6,ENSG00000117174,2.87506516382319e-13,0.00574559469765568,4.10723594831884e-14,0.0982081189859234,pLoF,1085654000,1,85654000,
CCDC168,ENSG00000175820,1.11106723005805e-12,3.89883290097259e-7,1.58723890008293e-13,0.329875715866965,pLoF,13102729381,13,102729381,
CCNF,ENSG00000162063,1.85175431372917e-12,0.14560147447781,2.64536330532738e-13,0.0577563281396523,pLoF,16002424523,16,2424523,
ADRB3,ENSG00000188778,2.78617248848269e-12,0.00346108313242832,3.98024641211813e-13,0.124255750827391,pLoF,8037964165,8,37964165,
ADGRA3,ENSG00000152990,7.40659101783694e-11,0.330062844502797,1.05808443111956e-11,0.0398773780442167,pLoF,4022387621,4,22387621,
ASXL3,ENSG00000141431,9.01515505933973e-11,0.0265451792852882,1.28787929419139e-11,0.133208167252988,pLoF,18033578567,18,33578567,
AC144573.1,ENSG00000285880,1.30147870356748e-10,0.00336464206962284,1.85925529081069e-11,0.116548524439156,pLoF,8037934244,8,37934244,
C6orf136,ENSG00000204564,1.37214574517911e-10,0.0000013731454171495,1.61079625093585e-10,0.231280150133443,pLoF,6030642042,6,30642042,
MKNK2,ENSG00000099875,1.99055441691187e-10,0.00234000861940764,2.95097797630094e-11,0.0914828178550702,pLoF,19002037688,19,2037688,
SLC19A2,ENSG00000117479,4.31317981330892e-10,0.0000163116292077881,1.03049555933794e-9,0.183227160080636,pLoF,1169465768,1,169465768,
MXRA5,ENSG00000101825,4.47119459700057e-10,0.000226348006890476,9.3155289588656e-11,0.10367053819882,pLoF,23003309661,X,3309661,
CCN4,ENSG00000104415,5.04929098532614e-10,0.00507106171253435,1.2383115376291e-10,0.134374343088696,pLoF,8133191057,8,133191057,
IGSF1,ENSG00000147255,5.99564353214852e-10,0.000631978437121594,2.09399820665208e-10,0.115811636115903,pLoF,23131273739,X,131273739,
EFR3B,ENSG00000084710,6.81733369944787e-10,0.349855347111096,9.73904814206838e-11,0.034037182247892,pLoF,2025042198,2,25042198,
TFB2M,ENSG00000162851,7.72371944179895e-10,0.0025794072209222,2.52179771544587e-10,0.0739785683097366,pLoF,1246540947,1,246540947,
CHD8,ENSG00000100888,8.42810759353564e-10,0.0386655078409222,2.80936919784521e-10,0.0990690414041406,pLoF,14021383771,14,21383771,
KIAA1671,ENSG00000197077,1.46663507091809e-9,0.000941381428505306,2.41533015112724e-10,0.140575642469002,pLoF,22025027975,22,25027975,
IL6R,ENSG00000160712,1.54836266030856e-9,0.23718263840522,3.24920413255494e-10,0.0484639093528678,pLoF,1154405577,1,154405577,
PRKD2,ENSG00000105287,1.93740612441928e-9,0.000560394085473148,3.83460214588624e-10,0.165358090512898,pLoF,19046674424,19,46674424,
CSNK1G1,ENSG00000169118,2.50308794709297e-9,0.177569683601089,8.34362649030989e-10,0.0645336398945452,pLoF,15064162002,15,64162002,
LTA,ENSG00000226979,2.52880549833634e-9,0.019292405016677,5.24712039473193e-10,0.214675979844933,pLoF,6031572691,6,31572691,
KLK8,ENSG00000129455,3.95784283124812e-9,1.86480926700483e-7,2.98552003119568e-8,0.33906814768178,pLoF,19050995981,19,50995981,
GAB3,ENSG00000160219,4.69321626006547e-9,0.00000596831795618424,2.01745611517527e-9,0.239913476862508,pLoF,23154678203,X,154678203,
TOPAZ1,ENSG00000173769,6.23593876536432e-9,0.0000371771787428532,9.9482970750131e-9,0.0905836931790625,pLoF,3044241973,3,44241973,
