Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
PHB,ENSG00000167085,1.0387224997354e-27,3.27619440342982e-10,1.48388928533628e-28,0.567073855272369,pLoF,17049404965,17,49404965,
RAB6A,ENSG00000175582,2.7152179644589e-23,3.88334014319041e-13,3.87888280636985e-24,0.802116484247544,pLoF,11073677690,11,73677690,
RFX7,ENSG00000181827,1.237285837703e-18,0.00030198163217543,1.76755119671857e-19,0.252529099251794,pLoF,15056093277,15,56093277,
NEXMIF,ENSG00000050030,4.05295320059706e-17,9.83072547886855e-13,5.78993314371008e-18,0.498340626104797,pLoF,23074739385,X,74739385,
VPS11,ENSG00000160695,6.31473433904692e-17,0.0178320805438985,9.02104905578131e-18,0.0955820312000254,pLoF,11119067715,11,119067715,
ZDHHC2,ENSG00000104219,1.99356566254023e-16,0.485579687854449,2.84795094648604e-17,0.0254884005942608,pLoF,8017156612,8,17156612,
ZBTB10,ENSG00000205189,3.13438396416925e-16,0.00485250982587315,4.47769137738464e-17,0.146663759246465,pLoF,8080485706,8,80485706,
SCG2,ENSG00000171951,5.65485358647933e-16,0.000233331022526206,8.07836226639905e-17,0.173398679818736,pLoF,2223597312,2,223597312,
SHANK2,ENSG00000162105,2.22897314934044e-15,0.00000654171823466498,3.18424735620063e-16,0.498056449671064,pLoF,11070472801,11,70472801,
SLC39A12,ENSG00000148482,4.99579197512912e-14,0.00451865211200675,7.17308645722194e-15,0.066173953229321,pLoF,10017953178,10,17953178,
PTPRT,ENSG00000196090,1.19591296181824e-12,0.000466105699791886,1.83502867461421e-13,0.165234375197987,pLoF,20042080812,20,42080812,
COL12A1,ENSG00000111799,3.69664727226723e-12,0.490416076554512,5.28092467466747e-13,-0.0167746992811636,pLoF,6075086473,6,75086473,
ZFYVE1,ENSG00000165861,1.51660599832735e-11,0.0236091176283448,2.1665799976105e-12,0.117821160738884,pLoF,14072970794,14,72970794,
GNG10,ENSG00000242616,4.22478458864809e-11,0.0000131787965720331,6.03540655521156e-12,0.481285364396709,pLoF,9111661570,9,111661570,
TMEM161B,ENSG00000164180,9.49581925927474e-11,0.00000182394045933343,6.21414034838709e-11,0.224809215716161,pLoF,5088196362,5,88196362,
OPTC,ENSG00000188770,2.55136356486219e-10,0.00106738084148095,8.63574307033745e-9,0.170466085001896,pLoF,1203495964,1,203495964,
SRRM3,ENSG00000177679,3.73270917318921e-10,0.0000171622173862351,3.29466380641649e-10,0.212839321677938,pLoF,7076234995,7,76234995,
LRRTM3,ENSG00000198739,3.77136194809371e-10,0.0000887844198278476,1.87530053797295e-10,0.20414168138555,pLoF,10066926495,10,66926495,
MOGAT2,ENSG00000166391,4.72608025668252e-10,0.00168246826974916,6.79355285561166e-11,0.11266543646959,pLoF,11075717814,11,75717814,
POLR1A,ENSG00000068654,9.07421827152587e-10,0.00588458115548307,1.49054276689961e-10,0.0939305949088052,pLoF,2086027372,2,86027372,
MT1A,ENSG00000205362,2.65002818122818e-9,,,,pLoF,16056633666,16,56633666,
PSAT1,ENSG00000135069,2.96698559977465e-9,0.00080979253939073,4.23855085682093e-10,0.0899593606488636,pLoF,9078297121,9,78297121,
RET,ENSG00000165731,4.10505396342131e-9,0.000101335179689799,1.30499815678778e-9,0.271638710825892,pLoF,10043077103,10,43077103,
CCDC84,ENSG00000186166,4.92968055265663e-9,0.249457542853355,4.07950609037635e-9,0.0597940714217397,pLoF,11118998070,11,118998070,
HELT,ENSG00000187821,3.42077004500396e-8,3.40231626306568e-8,0.00000196498878701767,0.287597038067221,pLoF,4185018840,4,185018840,
PEX3,ENSG00000034693,6.57487793715142e-8,0.0100673896979401,2.19162597905048e-8,0.0948323674943431,pLoF,6143450477,6,143450477,
TMEM74,ENSG00000164841,8.86445089554044e-8,0.0000605314427155612,3.63699277361462e-8,0.443415145548003,pLoF,8108784109,8,108784109,
GAB3,ENSG00000160219,1.51261749792297e-7,0.000177521594228791,4.84665165778608e-8,0.195154754712286,pLoF,23154678203,X,154678203,
PDZD2,ENSG00000133401,3.67024443725938e-7,0.00318456938341338,1.16059004517943e-7,0.15366959591684,pLoF,5031725530,5,31725530,
SNPH,ENSG00000101298,4.12971609797808e-7,0.00207549087208903,1.23443929966882e-7,0.277623308335175,pLoF,20001266507,20,1266507,
CNTNAP5,ENSG00000155052,4.54875868860505e-7,0.519287295987451,1.94848305934414e-7,0.0224471810893614,pLoF,2124025592,2,124025592,
GUCY2D,ENSG00000132518,6.4783677800051e-7,0.0101210900397158,1.38170624608414e-7,0.0510730208851621,pLoF,17008002982,17,8002982,
PEX5L,ENSG00000114757,7.03787665257138e-7,0.00075284803309239,6.23724259574132e-7,0.16653920089451,pLoF,3179801814,3,179801814,
PAF1,ENSG00000006712,7.28556934781466e-7,0.00348082133286887,4.45297039353143e-7,0.0996892647402926,pLoF,19039380630,19,39380630,
JAK3,ENSG00000105639,0.00000124999280270988,0.0750592252263755,4.49631067156453e-7,0.0458091593303135,pLoF,19017821217,19,17821217,
DNAL1,ENSG00000119661,0.00000137337671402005,0.0121421307518088,5.04110678090086e-7,0.108835633028413,pLoF,14073644894,14,73644894,
MRM2,ENSG00000122687,0.00000138357335355277,0.405018525264069,3.5976992496245e-7,0.0264613547095319,pLoF,7002229891,7,2229891,
STAT6,ENSG00000166888,0.00000143343987235589,0.274579199592629,4.12024224738516e-7,0.0602736803074108,pLoF,12057091063,12,57091063,
DNMT3B,ENSG00000088305,0.00000150339682924994,0.00975600567033874,5.02717475869829e-7,0.0861682856040941,pLoF,20032780001,20,32780001,
NCK2,ENSG00000071051,0.00000153900160604348,0.215213395298529,0.00000134223693604163,0.0792043977716034,pLoF,2105855002,2,105855002,
AHCY,ENSG00000101444,0.00000177921733712783,0.00334153406740145,7.73497072392715e-7,0.132352004900793,pLoF,20034280899,20,34280899,
DOCK10,ENSG00000135905,0.00000182599573883557,0.00419856821014597,4.50222454317917e-7,0.0531255031295152,pLoF,2224765687,2,224765687,
RRN3,ENSG00000085721,0.00000208882421603995,0.000298721256333234,8.09687623060107e-7,0.110973307138235,pLoF,16015055847,16,15055847,
KCNN2,ENSG00000080709,0.00000218516466843344,0.00000168361487307145,0.000208380169702038,0.21614517661808,pLoF,5114362776,5,114362776,
LRIG2,ENSG00000198799,0.00000226614729104124,0.00554703761222886,6.85155088220313e-7,0.0470790592760577,pLoF,1113073357,1,113073357,
OMP,ENSG00000254550,0.00000234571280532947,0.00583507502926861,0.00000128644137631362,0.107792720321022,pLoF,11077102731,11,77102731,
PRDX5,ENSG00000126432,0.00000234888023353808,0.0000158194829589231,0.00000252850869020271,0.111029157918557,pLoF,11064313908,11,64313908,
MXD3,ENSG00000213347,0.00000251189861599777,0.0000198379465783383,0.0000112568413791481,0.136193250657731,pLoF,5177302206,5,177302206,
DNAJC25-GNG10,ENSG00000244115,0.00000260967905207909,0.00155249633894461,9.23341010428125e-7,0.175388012473624,pLoF,9111631253,9,111631253,
DDX23,ENSG00000174243,0.00000277528325631771,0.00404165267769507,0.00000193683417526458,0.108985335680289,pLoF,12048824758,12,48824758,
PKD1L2,ENSG00000166473,0.00000302137482099951,0.00523454585627747,8.96911321435212e-7,0.0708397167196594,pLoF,16081170358,16,81170358,
CAMSAP1,ENSG00000130559,0.00000377915120730599,0.135577025807891,8.28495056892642e-7,0.0535585876206941,pLoF,9135811214,9,135811214,
UTP25,ENSG00000117597,0.00000440659840861279,0.0875242887350596,0.00000124670880019551,0.0377724613476235,pLoF,1209828015,1,209828015,
CCND1,ENSG00000110092,0.00000658258237148477,,,,pLoF,11069641243,11,69641243,
GMPPA,ENSG00000144591,0.00000799382172889107,0.000101428276956361,0.00000738853447690424,0.119179982345755,pLoF,2219496233,2,219496233,
ATP8A1,ENSG00000124406,0.0000097705290478256,0.00356436974461483,0.00000459814519548907,0.0657651391304538,pLoF,4042412855,4,42412855,
RABGEF1,ENSG00000154710,0.0000118656671805883,0.0794243859349035,0.00000459297913046885,0.064591548962975,pLoF,7066755995,7,66755995,
SNX8,ENSG00000106266,0.0000128511459375202,0.00704744644817157,0.00000429240012311816,0.171830253299614,pLoF,7002249744,7,2249744,
NXPH4,ENSG00000182379,0.0000155594380372159,0.000969144938075206,0.0000104761576271706,-0.194856575854084,pLoF,12057211801,12,57211801,
PKN3,ENSG00000160447,0.0000166857015219124,0.1388775621307,0.00000503784451111322,0.0357194854590248,pLoF,9128702873,9,128702873,
TCF15,ENSG00000125878,0.0000184188259366724,0.00457319945707146,0.00000926439125981116,0.0783562066917268,pLoF,20000604521,20,604521,
TNXB,ENSG00000168477,0.0000187038776604531,0.0000757889626603614,0.0000249140713882712,0.195630275960207,pLoF,6032038228,6,32038228,
AC008758.1,ENSG00000196826,0.0000231290672519924,0.0434262283792297,0.0000154811656821741,0.157734073392164,pLoF,19012463914,19,12463914,
ZNF709,ENSG00000242852,0.0000231290672519924,0.0434262283792297,0.0000154811656821741,0.157734073392164,pLoF,19012463914,19,12463914,
CLEC12B,ENSG00000256660,0.0000238230095923608,0.000840986657409504,0.0000187990175116726,0.11386635816628,pLoF,12010010736,12,10010736,
TATDN2,ENSG00000157014,0.0000272861750284514,0.0334195795876961,0.00000973424772687803,0.0539482586531071,pLoF,3010249085,3,10249085,
SMAD6,ENSG00000137834,0.0000299864170023589,0.0000072648119950891,0.0789439222547477,0.0712626205420347,pLoF,15066703186,15,66703186,
IL4,ENSG00000113520,0.0000318711548941142,0.00114069457570842,0.0000174302592800268,0.359622018569418,pLoF,5132673991,5,132673991,
STRC,ENSG00000242866,0.0000321731368133626,0.00840736174286982,0.0000138984125872543,0.0458421220039073,pLoF,15043596343,15,43596343,
AP002512.3,ENSG00000284732,0.0000393115666240673,0.0000531116064406145,0.000103773137150931,0.210701419524253,pLoF,11056462442,11,56462442,
RPS25,ENSG00000118181,0.0000433530757395225,,,,pLoF,11119010719,11,119010719,
MS4A13,ENSG00000204979,0.0000446319544429308,0.00233825580557068,0.0000235392998864103,0.150462736650936,pLoF,11060518015,11,60518015,
COL6A1,ENSG00000142156,0.0000464400480423288,0.0000196564357680673,0.0119727441570782,-0.0723888169267269,pLoF,21045981795,21,45981795,
MTF2,ENSG00000143033,0.0000474418258763487,0.0000708990879348947,0.000103571226069188,0.277483140427323,pLoF,1093079425,1,93079425,
TREML2,ENSG00000112195,0.0000500881488549876,0.00462734471552806,0.0000226143914758836,0.104325875386289,pLoF,6041192373,6,41192373,
SLC41A2,ENSG00000136052,0.0000555207871201224,0.0082624340490316,0.0000228730853590875,0.110287807461678,pLoF,12104805078,12,104805078,
NAALAD2,ENSG00000077616,0.0000555790585546889,0.0476299590691858,0.0000207872932105335,0.0390212015095702,pLoF,11090134685,11,90134685,
MUSTN1,ENSG00000272573,0.0000557412909935051,0.00176076642767242,0.0000319011593513663,0.147405444982947,pLoF,3052829033,3,52829033,
GPR119,ENSG00000147262,0.0000587950658095249,0.0000666892641942862,0.000115997490735209,0.094945142866283,pLoF,23130384386,X,130384386,
FAM83G,ENSG00000188522,0.0000613630826047373,0.0626142347626614,0.0000252086936057827,0.0560475034328735,pLoF,17018968967,17,18968967,
TBC1D9B,ENSG00000197226,0.000061522674953518,0.817536183183323,0.0000216264341669214,-0.0042798292928764,pLoF,5179858692,5,179858692,
WBP1,ENSG00000239779,0.0000865759797046284,0.000108765794629928,0.000249521170956668,0.0946096191069637,pLoF,2074455042,2,74455042,
TRIM26,ENSG00000234127,0.0000920499392487173,0.0161798035751046,0.0000624847159379494,0.142013477733294,pLoF,6030185773,6,30185773,
REPS1,ENSG00000135597,0.0000961425833139185,0.0224577779327237,0.0000517225598414273,0.126056345046579,pLoF,6138900853,6,138900853,
PUS3,ENSG00000110060,0.0000970576704537596,0.139347196584732,0.0000464985908148474,0.0370379738072991,pLoF,11125893711,11,125893711,
ZBTB26,ENSG00000171448,0.0000981682126346417,0.00613742169049647,0.0000533433730094401,0.302873142212955,pLoF,9122910723,9,122910723,
CAT,ENSG00000121691,0.000101382562934793,0.00129349423274439,0.000101854707374671,0.0850416510396297,pLoF,11034438947,11,34438947,
THOP1,ENSG00000172009,0.000104741605379877,0.157578305848735,0.0000451439121753605,0.0470623755099985,pLoF,19002785540,19,2785540,
VWA3A,ENSG00000175267,0.00010669933244245,0.00832743325728591,0.0000676064472094895,0.0367144906384921,pLoF,16022092519,16,22092519,
HUS1B,ENSG00000188996,0.00012198525778555,,,,pLoF,6000656059,6,656059,
CNOT11,ENSG00000158435,0.000124061007206078,0.0198979841018031,0.0000600712214016141,0.209979637923469,pLoF,2101252872,2,101252872,
P2RX4,ENSG00000135124,0.000129437836907331,0.31809575998973,0.0000665295914636932,0.0249679180303944,pLoF,12121210044,12,121210044,
TERF2IP,ENSG00000166848,0.000136885980293489,0.0000860621855769406,0.00446623438064997,0.084311497944809,pLoF,16075644209,16,75644209,
ZNF45,ENSG00000124459,0.000139886565887481,0.00968983237434473,0.000112727223460674,0.0905950492652993,pLoF,19043913283,19,43913283,
DAB2IP,ENSG00000136848,0.000152370044517958,0.204762010551734,0.0001296044814032,0.032554380040187,pLoF,9121567107,9,121567107,
RHBG,ENSG00000132677,0.000164817609511703,0.000114704400395071,0.00193837004466235,0.0627105973390256,pLoF,1156369149,1,156369149,
MANBA,ENSG00000109323,0.000170755565165437,0.0685145559418452,0.0000636097114785628,0.0283663150271553,pLoF,4102632014,4,102632014,
MS4A6A,ENSG00000110077,0.000179739397796475,0.000259862510356479,0.000198504568533098,-0.0204421741227358,pLoF,11060172095,11,60172095,
STIMATE-MUSTN1,ENSG00000248592,0.00018356539535791,0.0497811064025134,0.0000755927407534163,0.0743689510525812,pLoF,3052829033,3,52829033,
FBXO7,ENSG00000100225,0.00019038690722617,0.000161953750252963,0.00513747135703424,0.0618145961350656,pLoF,22032474913,22,32474913,
SYT17,ENSG00000103528,0.000205583546499022,0.0117789107367029,0.000120414790724777,0.176034558390716,pLoF,16019168518,16,19168518,
BZW1,ENSG00000082153,0.000224169181264,0.011715752831164,0.000141251683000387,0.101897031555658,pLoF,2200812356,2,200812356,
PTAR1,ENSG00000188647,0.00022547501296688,0.00630689828981268,0.000213095380852568,0.0886127058738641,pLoF,9069718301,9,69718301,
FAT3,ENSG00000165323,0.000232920143145465,0.14205213215576,0.0000835469445717996,0.039963899269901,pLoF,11092352102,11,92352102,
USO1,ENSG00000138768,0.000241108689572278,0.0454546434283908,0.000108798974094437,-0.104184871046119,pLoF,4075724733,4,75724733,
FAM171A1,ENSG00000148468,0.000242095516012952,0.0139782426907711,0.000122674388862709,0.14514076601088,pLoF,10015212805,10,15212805,
RBKS,ENSG00000171174,0.000274363686783241,0.000413687766502857,0.000258953560323905,0.0185988462831363,pLoF,2027779327,2,27779327,
PCDHGB4,ENSG00000253953,0.000274995827117319,0.627133450365505,0.000123395449453723,0.0109031070412492,pLoF,5141382829,5,141382829,
