Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
GABRG2,ENSG00000113327,4.55759829991321e-78,5.90679797256858e-37,1.76771601399966e-78,1.27253999804718,pLoF,5162067976,5,162067976,
LZTFL1,ENSG00000163818,1.98730231340649e-58,1.72462422395027e-16,2.83900330486642e-59,0.583554112962498,pLoF,3045826249,3,45826249,
ZFYVE1,ENSG00000165861,5.73138745073554e-57,0.00000140492796574243,8.18769635819363e-58,0.278558145574592,pLoF,14072970794,14,72970794,
OPN5,ENSG00000124818,2.46393568070255e-49,2.58148082207251e-16,6.45974843659262e-50,0.473739245420083,pLoF,6047782002,6,47782002,
KIAA1671,ENSG00000197077,6.46770438290216e-46,1.97554972936054e-7,9.23957768986022e-47,0.241399036540217,pLoF,22025027975,22,25027975,
TREML2,ENSG00000112195,1.12568269866456e-43,4.60194977983122e-10,1.60811814094937e-44,0.254901396188867,pLoF,6041192373,6,41192373,
PDZD8,ENSG00000165650,3.25173588003456e-43,0.0000139893288677584,4.64533697147794e-44,0.251177907281061,pLoF,10117277153,10,117277153,
VTA1,ENSG00000009844,3.70863053736755e-43,0.0000313762852950372,5.29804362481079e-44,0.186616224902355,pLoF,6142147208,6,142147208,
ZBTB17,ENSG00000116809,9.19603758039472e-37,2.28386379458262e-13,1.3137196543421e-37,0.56878786454507,pLoF,1015937030,1,15937030,
SLC18A2,ENSG00000165646,1.03735371062065e-36,1.15464178218616e-7,1.51672071385972e-37,0.234841425015119,pLoF,10117241569,10,117241569,
RALGAPB,ENSG00000170471,2.63573286934566e-32,0.0000054320020175247,3.7653326704938e-33,0.298225572855836,pLoF,20038488388,20,38488388,
HR,ENSG00000168453,1.19526456164792e-31,0.129710191093632,1.70752080235418e-32,0.0437433465249027,pLoF,8022115640,8,22115640,
ABCA12,ENSG00000144452,3.82223880905973e-30,0.00000783058465902986,5.46034115579961e-31,0.152113032243676,pLoF,2214932598,2,214932598,
NKX2-1,ENSG00000136352,4.78894502808783e-29,1.87782788106067e-17,6.84135004012547e-30,0.851803753963107,pLoF,14036513038,14,36513038,
RESF1,ENSG00000174718,3.04156854371254e-27,0.0322412067250902,4.34509791958934e-28,0.0468137409332389,pLoF,12031955298,12,31955298,
USO1,ENSG00000138768,1.21494594522458e-26,8.55541619659839e-7,1.74470257060048e-27,0.284898158692259,pLoF,4075724733,4,75724733,
ZC3H14,ENSG00000100722,4.48780081162875e-25,0.0000134568712062411,6.9203137053183e-26,0.188799199249967,pLoF,14088563000,14,88563000,
EPS15L1,ENSG00000127527,5.10577687931024e-25,2.78121270458342e-8,7.7139881599133e-26,0.342751353995668,pLoF,19016355584,19,16355584,
CCN4,ENSG00000104415,5.88050191419227e-23,0.0000010903638063553,8.40071702027467e-24,0.254824162246992,pLoF,8133191057,8,133191057,
ZNF532,ENSG00000074657,6.34845386355968e-23,0.000794739417461443,9.06921980508526e-24,0.145478290149036,pLoF,18058916631,18,58916631,
TCP11L1,ENSG00000176148,7.73186388542764e-23,0.0173760366065487,1.10455198363252e-23,0.12436066892448,pLoF,11033043685,11,33043685,
PIP5K1C,ENSG00000186111,9.33604643853304e-23,0.000689763170970137,1.33372091979043e-23,0.113318939919778,pLoF,19003636603,19,3636603,
HECW2,ENSG00000138411,5.68049859216231e-22,0.00000799941745921462,8.1149979888033e-23,0.292790636369579,pLoF,2196201251,2,196201251,
GNL3,ENSG00000163938,1.55095122889831e-21,8.57410143995097e-7,9.28210186630926e-22,0.104509229869625,pLoF,3052681652,3,52681652,
TMEM235,ENSG00000204278,2.41837663130573e-21,0.0010714792164831,3.45482375900818e-22,0.151757365025975,pLoF,17078231316,17,78231316,
EMC8,ENSG00000131148,3.04844102396003e-21,8.19609867818561e-10,4.35491574851433e-22,0.753485352322558,pLoF,16085779627,16,85779627,
SENP3,ENSG00000161956,4.24883657605355e-21,1.11340995978537e-7,6.06976653721936e-22,0.530258103961085,pLoF,17007556921,17,7556921,
GUSB,ENSG00000169919,8.11334932748361e-21,0.265760466468568,1.15904990392623e-21,0.0351732798964856,pLoF,7065960841,7,65960841,
MRPL3,ENSG00000114686,4.89613285153243e-20,0.00000214799955244871,8.98201572590037e-21,0.121296987248066,pLoF,3131462645,3,131462645,
RABGEF1,ENSG00000154710,8.61624075500425e-20,0.000203817390081795,1.23089153642918e-20,0.151906621042875,pLoF,7066755995,7,66755995,
RRN3,ENSG00000085721,4.13575305999445e-19,0.0000155215124881813,7.4001902770461e-20,0.147143669094427,pLoF,16015055847,16,15055847,
ITGA3,ENSG00000005884,6.75055649431094e-19,0.000022906246839649,1.17035363735376e-19,0.129939432797822,pLoF,17050056381,17,50056381,
AL163195.3,ENSG00000259060,7.76676932663952e-19,2.57456784300765e-11,1.10953847523422e-19,0.668233054056078,pLoF,14020583784,14,20583784,
COL19A1,ENSG00000082293,8.34968081371799e-18,0.0538289305017592,1.19281154481686e-18,0.0747540348473316,pLoF,6069879512,6,69879512,
GPATCH4,ENSG00000160818,1.09646330285467e-17,0.00140052247581479,1.56637614693524e-18,0.120947363251298,pLoF,1156591690,1,156591690,
TMEM43,ENSG00000170876,1.14964181377399e-17,0.0023243407445348,1.64234544824856e-18,0.0893161455323766,pLoF,3014121766,3,14121766,
ABCF3,ENSG00000161204,2.70057447886258e-16,0.00354194570647359,3.85796354123226e-17,0.101211793014265,pLoF,3184181031,3,184181031,
NPIPB11,ENSG00000254206,2.90212231800673e-16,0.0000452337817549164,4.1458890257239e-17,0.154538424592405,pLoF,16029382207,16,29382207,
DAPK1,ENSG00000196730,2.98654443041773e-16,0.00000442603364336769,4.33901427153206e-17,0.17812033329026,pLoF,9087499019,9,87499019,
CCNDBP1,ENSG00000166946,5.90056981480137e-16,0.0000979156074104592,8.42938544971624e-17,0.203785596083113,pLoF,15043181177,15,43181177,
HSPA4L,ENSG00000164070,1.93999811109294e-15,0.00438521170961459,2.77142587298992e-16,0.103091380210144,pLoF,4127782500,4,127782500,
PEX3,ENSG00000034693,2.091453432015e-15,0.00111926054003741,2.98779061716429e-16,0.137158907414243,pLoF,6143450477,6,143450477,
